"satpdbid","id"
"satpdb10566","ahtpdb_1566"
"satpdb10567","ahtpdb_1567"
"satpdb10568","ahtpdb_1568"
"satpdb10569","ahtpdb_1569"
"satpdb10570","ahtpdb_1570"
"satpdb10571","ahtpdb_1571"
"satpdb10572","ahtpdb_1572"
"satpdb10573","ahtpdb_1573"
"satpdb10574","ahtpdb_1574"
"satpdb10575","ahtpdb_1575"
"satpdb10576","ahtpdb_1576"
"satpdb10577","ahtpdb_1577"
"satpdb10578","ahtpdb_1578"
"satpdb10579","ahtpdb_1579"
"satpdb10580","ahtpdb_1580"
"satpdb10581","ahtpdb_1581"
"satpdb10582","ahtpdb_1582"
"satpdb10583","ahtpdb_1583"
"satpdb10584","ahtpdb_1584"
"satpdb10585","ahtpdb_1585"
"satpdb10586","ahtpdb_1586"
"satpdb10587","ahtpdb_1587"
"satpdb10588","ahtpdb_1588"
"satpdb10589","ahtpdb_1589"
"satpdb10590","ahtpdb_1590"
"satpdb10591","ahtpdb_1591"
"satpdb10592","ahtpdb_1592"
"satpdb10593","ahtpdb_1593"
"satpdb10594","ahtpdb_1594"
"satpdb10595","ahtpdb_1595"
"satpdb10596","ahtpdb_1596"
"satpdb10597","ahtpdb_1597"
"satpdb10598","ahtpdb_1598"
"satpdb10599","ahtpdb_1599"
"satpdb10600","ahtpdb_1600"
"satpdb10601","ahtpdb_1601"
"satpdb10602","ahtpdb_1602"
"satpdb10603","ahtpdb_1603"
"satpdb10604","ahtpdb_1604"
"satpdb10605","ahtpdb_1605"
"satpdb10606","ahtpdb_1606"
"satpdb10607","ahtpdb_1607"
"satpdb10608","ahtpdb_1608"
"satpdb10609","ahtpdb_1609"
"satpdb10610","ahtpdb_1610"
"satpdb10611","ahtpdb_1611"
"satpdb10612","ahtpdb_1612"
"satpdb10613","ahtpdb_1613"
"satpdb10614","ahtpdb_1614"
"satpdb10615","ahtpdb_1615"
"satpdb10616","ahtpdb_1616"
"satpdb10617","ahtpdb_1617"
"satpdb10618","ahtpdb_1618"
"satpdb10619","ahtpdb_1619"
"satpdb10620","ahtpdb_1620"
"satpdb10621","ahtpdb_1621"
"satpdb10622","ahtpdb_1622"
"satpdb10623","ahtpdb_1623"
"satpdb10624","ahtpdb_1624"
"satpdb10625","ahtpdb_1625"
"satpdb10626","ahtpdb_1626"
"satpdb10627","ahtpdb_1627"
"satpdb10628","ahtpdb_1628"
"satpdb10629","ahtpdb_1629"
"satpdb10630","ahtpdb_1630"
"satpdb10631","ahtpdb_1631"
"satpdb10632","ahtpdb_1632"
"satpdb10633","ahtpdb_1633"
"satpdb10634","ahtpdb_1634"
"satpdb10635","ahtpdb_1635"
"satpdb10636","ahtpdb_1636"
"satpdb10637","ahtpdb_1637"
"satpdb10638","ahtpdb_1638"
"satpdb10639","ahtpdb_1639"
"satpdb10640","ahtpdb_1640"
"satpdb10641","ahtpdb_1641"
"satpdb10642","ahtpdb_1642"
"satpdb10643","ahtpdb_1643"
"satpdb10644","ahtpdb_1644"
"satpdb10645","ahtpdb_1645"
"satpdb10646","ahtpdb_1646"
"satpdb10647","ahtpdb_1647"
"satpdb10648","ahtpdb_1648"
"satpdb10649","ahtpdb_1649"
"satpdb10650","ahtpdb_1650"
"satpdb10651","ahtpdb_1651"
"satpdb10652","ahtpdb_1652"
"satpdb10653","ahtpdb_1653"
"satpdb10654","ahtpdb_1654"
"satpdb10655","ahtpdb_1655"
"satpdb10656","ahtpdb_1656"
"satpdb10657","ahtpdb_1657"
"satpdb10658","ahtpdb_1658"
"satpdb10659","ahtpdb_1659"
"satpdb10660","ahtpdb_1660"
"satpdb10661","ahtpdb_1661"
"satpdb10662","ahtpdb_1662"
"satpdb10663","ahtpdb_1663"
"satpdb10664","ahtpdb_1664"
"satpdb10665","ahtpdb_1665"
"satpdb10666","ahtpdb_1666"
"satpdb10667","ahtpdb_1667"
"satpdb10668","ahtpdb_1668"
"satpdb10669","ahtpdb_1669"
"satpdb10670","ahtpdb_1670"
"satpdb10671","ahtpdb_1671"
